iter	RMSE
0	4301.633009
1	4054.924237
2	3836.215831
3	3632.975928
4	3464.551341
5	3311.402513
6	3179.971418
7	3064.560067
8	2965.549276
9	2870.604011
10	2789.043839
11	2719.591734
12	2656.505599
13	2603.28132
14	2551.851951
15	2504.912397
16	2463.919045
17	2429.278708
18	2398.872066
19	2369.843093
20	2344.323972
21	2319.210161
22	2295.403239
23	2272.799044
24	2255.196115
25	2236.132337
26	2219.994526
27	2204.51199
28	2191.770241
29	2177.39272
30	2164.842513
31	2153.731111
32	2143.508706
33	2133.908294
34	2124.0396
35	2115.490914
36	2104.887371
37	2097.421347
38	2090.819903
39	2083.991578
40	2077.889083
41	2071.270809
42	2066.571626
43	2059.324642
44	2054.246406
45	2050.262135
46	2044.443384
47	2040.193609
48	2036.334725
49	2031.03978
50	2026.179614
51	2020.967524
52	2017.026552
53	2011.982735
54	2007.745594
55	2004.139977
56	2001.00502
57	1998.272919
58	1995.308216
59	1992.878339
60	1990.373609
61	1988.051398
62	1985.733198
63	1982.123948
64	1976.986533
65	1975.113859
66	1972.796888
67	1969.705908
68	1967.780074
69	1966.032201
70	1963.758226
71	1960.220745
72	1958.560031
73	1956.062746
74	1954.19501
75	1952.018884
76	1950.199818
77	1947.371226
78	1943.439057
79	1941.518249
80	1938.586108
81	1936.985931
82	1935.849399
83	1933.58608
84	1930.115094
85	1928.392499
86	1926.77777
87	1925.253764
88	1923.25246
89	1921.674671
90	1919.896388
91	1918.682439
92	1917.472308
93	1915.858226
94	1914.665922
95	1913.371319
96	1911.92879
97	1910.626329
98	1909.724607
99	1908.623679
100	1906.981819
101	1905.080959
102	1904.302089
103	1903.295441
104	1902.295348
105	1900.680872
106	1898.988193
107	1898.054263
108	1896.352163
109	1894.620808
110	1893.849961
111	1892.860357
112	1891.49815
113	1890.363378
114	1889.737227
115	1887.625197
116	1886.754506
117	1885.241022
118	1884.386847
119	1883.34883
120	1882.512949
121	1881.228775
122	1880.282506
123	1879.413066
124	1878.337472
125	1877.242332
126	1876.481797
127	1875.622947
128	1874.375108
129	1872.514869
130	1871.557371
131	1870.90875
132	1869.993295
133	1869.1663
134	1867.803764
135	1866.624772
136	1865.58423
137	1864.695287
138	1864.171086
139	1863.339972
140	1862.568414
141	1861.84374
142	1860.825602
143	1859.709689
144	1859.005966
145	1858.263277
146	1856.830346
147	1856.149377
148	1854.681106
149	1853.782026
150	1853.346084
151	1852.807
152	1852.07568
153	1851.449627
154	1850.534484
155	1849.722719
156	1848.526199
157	1847.653256
158	1847.006362
159	1846.186398
160	1845.624948
161	1844.871232
162	1843.99509
163	1843.266605
164	1842.561015
165	1841.724313
166	1840.989665
167	1840.247535
168	1839.327428
169	1838.485062
170	1837.98891
171	1837.152042
172	1836.720902
173	1835.757209
174	1835.327958
175	1834.729205
176	1834.045567
177	1833.46559
178	1832.488615
179	1831.878655
180	1831.190872
181	1830.416076
182	1829.860633
183	1829.322598
184	1828.216905
185	1827.832375
186	1827.107601
187	1826.474638
188	1825.757156
189	1825.153774
190	1824.581779
191	1824.180487
192	1823.444625
193	1822.863269
194	1822.412591
195	1821.892442
196	1820.646373
197	1820.005454
198	1819.403729
199	1818.649486
200	1818.145078
201	1817.4359
202	1816.865341
203	1816.308552
204	1815.803416
205	1815.30109
206	1814.822243
207	1814.231509
208	1813.899833
209	1813.088807
210	1812.696741
211	1812.30367
212	1812.034537
213	1811.49173
214	1811.022943
215	1810.661384
216	1810.315873
217	1809.908817
218	1809.248729
219	1808.393112
220	1807.811059
221	1807.363004
222	1807.037139
223	1806.649449
224	1805.763191
225	1805.090569
226	1804.672198
227	1804.06476
228	1803.572976
229	1803.197566
230	1802.611789
231	1802.13376
